optimizer,family,alpha_group,alpha_other,n,mean_bpb,mean_gain_vs_raw,gain_ci95_half,positive_seed_count,min_gain,max_gain
pure_adamw,structured_grid,0.375,0.375,5,1.1450699784938558,0.000881319035817274,0.00011997613106475775,5,0.0007654790014688384,0.0010219996151277222
pure_adamw,structured_grid,0.375,0.5,5,1.1450892270740312,0.0008620704556420389,0.00012730327537888554,5,0.0007342869569522126,0.001008881071173473
pure_adamw,structured_grid,0.375,0.625,5,1.1451446527873756,0.0008066447422975465,0.00013187080313310827,5,0.0006676385623862746,0.0009563818904576582
pure_adamw,structured_grid,0.375,0.75,5,1.145228148049469,0.0007231494802041105,0.00012846946996347952,5,0.0006026541359607229,0.000875750237616657
pure_adamw,structured_grid,0.375,0.875,5,1.1453488643450105,0.000602433184662976,0.00015262447767056323,5,0.00045286077951200987,0.000789669096285639
pure_adamw,structured_grid,0.375,1.0,5,1.1455181105481689,0.00043318698150427435,0.00013241131836386902,5,0.0002975485483223128,0.0005933369767325836
pure_adamw,structured_grid,0.5,0.0,5,1.1450671300238144,0.0008841675058589349,0.00015225066289990358,5,0.0007607825898430232,0.0010551231624305046
pure_adamw,structured_grid,0.5,0.125,5,1.1450034804553018,0.0009478170743716152,0.00015662105799695277,5,0.0008211118966638953,0.0011365732031147768
pure_adamw,structured_grid,0.5,0.25,5,1.1449713923460911,0.000979905183581975,0.00015544356404194505,5,0.000851931160671171,0.0011776306717201646
pure_adamw,structured_grid,0.5,0.375,5,1.1449738667173635,0.0009774308123098319,0.0001502955439073747,5,0.0008485067730497065,0.001164229338707079
pure_adamw,structured_grid,0.5,0.5,5,1.145006111188458,0.0009451863412151873,0.00016289642442783264,5,0.0007836120590820617,0.0011285070488584736
pure_adamw,structured_grid,0.5,0.625,5,1.145073877583007,0.0008774199466661248,0.000175257389068161,5,0.0006957355692427392,0.0010764706651098521
pure_adamw,structured_grid,0.5,0.75,5,1.1451706256051994,0.0007806719244736193,0.00017525657946788025,5,0.0006102971097077248,0.0009865425504180791
pure_adamw,structured_grid,0.5,0.875,5,1.1452997767907382,0.0006515207389351296,0.00017610504547248114,5,0.0004789094533454996,0.0008674949105307306
pure_adamw,structured_grid,0.5,1.0,5,1.1454621178663302,0.0004891796633430534,0.00017525956472488346,5,0.00029874062777479615,0.000687009641888725
pure_adamw,structured_grid,0.625,0.0,5,1.1450352825700765,0.0009160149595966782,0.00018958184272271434,5,0.000777447167016776,0.0011333994953528492
pure_adamw,structured_grid,0.625,0.125,5,1.1449706257338765,0.000980671795796928,0.00018748623275732348,5,0.0008222845651948418,0.0012099559496285828
pure_adamw,structured_grid,0.625,0.25,5,1.144944288073987,0.0010070094556861252,0.00018542700744285734,5,0.0008595719863591089,0.0012335792494084785
pure_adamw,structured_grid,0.625,0.375,5,1.1449645556405432,0.000986741889130105,0.0001852556073272055,5,0.0008131330105183299,0.0012058880346634826
pure_adamw,structured_grid,0.625,0.5,5,1.1449981247632288,0.0009531727664444656,0.00018642498259512538,5,0.0007636365768302067,0.0011543627195700346
pure_adamw,structured_grid,0.625,0.625,5,1.1450715160080072,0.0008797815216662564,0.0002111939287192912,5,0.0006737687006894699,0.001117442176777672
pure_adamw,structured_grid,0.625,0.75,5,1.1451775321667879,0.000773765362885559,0.00020688019306447204,5,0.0005602018591683855,0.0010069150142162364
pure_adamw,structured_grid,0.625,0.875,5,1.1453104934776541,0.000640804052018984,0.00021356927047764377,5,0.0004106556275009776,0.0008806627955721957
pure_adamw,structured_grid,0.625,1.0,5,1.1454845657727222,0.0004667317569510221,0.00020337727526606046,5,0.0002493053161447545,0.0006988339593556603
pure_adamw,structured_grid,0.75,0.0,5,1.145057864964651,0.0008934325650223673,0.00023467311023015497,5,0.0006988326085697327,0.0011554586040984915
pure_adamw,structured_grid,0.75,0.125,5,1.1450024297441241,0.0009488677855493232,0.00022469365041110959,5,0.0007472141899320661,0.0011995519938055033
pure_adamw,structured_grid,0.75,0.25,5,1.1449899159689565,0.0009613815607166121,0.00022210877621154284,5,0.0007594010400817641,0.001202018091504442
