candidate_id,family,mean_gain_vs_raw,se_gain_vs_raw,lo95_gain_vs_raw,hi95_gain_vs_raw,mean_gain_vs_scalar,se_gain_vs_scalar,lo95_gain_vs_scalar,hi95_gain_vs_scalar
depth_thirds_rest|early=0.550|late=0.550|middle=0.550|rest=0.250,depth_thirds_rest,0.002160953244869045,7.20774561289442e-05,0.001990490061124092,0.002331416428613998,9.071948182028155e-05,1.2237180304215192e-05,6.177855040081262e-05,0.00011966041323975047
hidden_rest|hidden=0.550|rest=0.250,hidden_rest,0.002160953244869045,7.20774561289442e-05,0.001990490061124092,0.002331416428613998,9.071948182028155e-05,1.2237180304215192e-05,6.177855040081262e-05,0.00011966041323975047
input_write_rest|input=0.550|rest=0.250|write=0.550,input_write_rest,0.002160953244869045,7.20774561289442e-05,0.001990490061124092,0.002331416428613998,9.071948182028155e-05,1.2237180304215192e-05,6.177855040081262e-05,0.00011966041323975047
square_rect_rest|rectangular=0.550|rest=0.250|square=0.550,square_rect_rest,0.002160953244869045,7.20774561289442e-05,0.001990490061124092,0.002331416428613998,9.071948182028155e-05,1.2237180304215192e-05,6.177855040081262e-05,0.00011966041323975047
functional4|attn_out=0.650|mlp_down=0.550|mlp_up=0.650|qkv=0.650|rest=0.250,functional4,0.002160672375569665,8.239629895167937e-05,0.0019658051285489433,0.0023555396225903866,9.04386125209016e-05,1.756682161744093e-05,4.8893079395653796e-05,0.0001319841456461494
module_layer_scan|base=0.650|layer=8|module=mlp|rest=0.250|target=0.850,module_layer_scan,0.0021602485816893027,8.618709030120456e-05,0.001956416113126954,0.0023640810502516514,9.001481864053928e-05,2.3173646006509283e-05,3.520914583514482e-05,0.00014482049144593374
module_layer_scan|base=0.650|layer=0|module=attn|rest=0.250|target=0.450,module_layer_scan,0.0021597347319849587,8.052647365438315e-05,0.0019692896217923424,0.002350179842177575,8.950096893619534e-05,1.6923890312408328e-05,4.9475968347349636e-05,0.00012952596952504105
module_layer_scan|base=0.650|layer=4|module=attn|rest=0.250|target=0.450,module_layer_scan,0.0021594901609661623,8.326630847624997e-05,0.001962565341419831,0.0023564149805124935,8.925639791739891e-05,1.9649318110466494e-05,4.278576058614565e-05,0.00013572703524865218
module_layer_scan|base=0.650|layer=4|module=mlp|rest=0.250|target=0.850,module_layer_scan,0.00215916595613306,8.953683031570603e-05,0.0019474113524364154,0.002370920559829705,8.893219308429672e-05,2.414001052821321e-05,3.184106818507247e-05,0.00014602331798352095
layer_scan|base=0.650|layer=0|rest=0.250|target=0.450,layer_scan,0.0021590924405858066,7.95814296857268e-05,0.0019708823593790627,0.0023473025217925505,8.885867753704322e-05,1.6043725522675224e-05,5.0915266675916304e-05,0.00012680208839817013
layer_scan|base=0.650|layer=3|rest=0.250|target=0.450,layer_scan,0.0021588666981069153,8.242359031352866e-05,0.00196393490701542,0.0023537984891984108,8.863293505815195e-05,1.9483111850484996e-05,4.2555375531754925e-05,0.00013471049458454898
module_layer_scan|base=0.650|layer=11|module=attn|rest=0.250|target=0.850,module_layer_scan,0.0021584348582194984,8.634437477935227e-05,0.00195423041186633,0.0023626393045726667,8.8201095170735e-05,2.2030552191086182e-05,3.6098839238816176e-05,0.00014030335110265383
hidden_rest|hidden=0.625|rest=0.375,hidden_rest,0.0021573673560708806,8.436419570587821e-05,0.0019578460332264785,0.0023568886789152826,8.713359302211718e-05,2.1124668440342102e-05,3.7173752160708105e-05,0.00013709343388352625
layer_scan|base=0.650|layer=1|rest=0.250|target=0.850,layer_scan,0.0021571314078289673,8.911880293750381e-05,0.0019463654388817708,0.002367897376776164,8.68976447802039e-05,2.528560404919585e-05,2.70971912038557e-05,0.00014669809835655208
module_layer_scan|base=0.650|layer=4|module=mlp|rest=0.250|target=0.450,module_layer_scan,0.0021561855219989073,8.362864242647446e-05,0.001958403782660295,0.0023539672613375195,8.595175895014396e-05,1.881011923283841e-05,4.1465826964481116e-05,0.0001304376909358068
module_layer_scan|base=0.650|layer=3|module=mlp|rest=0.250|target=0.450,module_layer_scan,0.002156165451061463,8.176622408324548e-05,0.001962788331104588,0.0023495425710183386,8.593168801269979e-05,1.9254288111660965e-05,4.0395296628621604e-05,0.00013146807939677798
layer_scan|base=0.650|layer=1|rest=0.250|target=0.450,layer_scan,0.0021555253609719756,8.134182939540907e-05,0.001963151934451833,0.002347898787492118,8.529159792321217e-05,1.8950663806315372e-05,4.047327802127631e-05,0.00013010991782514802
