optimizer,floor,alpha,n,mean,ci95_halfwidth,ci95_low,ci95_high,positive_count
pure_adamw,0.15,0.4,5,0.0023444400444594836,0.00020010899887386557,0.002144331045585618,0.002544549043333349,5
pure_adamw,0.15,0.45,5,0.002495718139502312,0.0002261454048388417,0.0022695727346634703,0.002721863544341154,5
pure_adamw,0.15,0.5,5,0.002608968625899921,0.00024192194464313615,0.0023670466812567847,0.0028508905705430573,5
pure_adamw,0.15,0.55,5,0.002686931639796297,0.00026064561821365594,0.002426286021582641,0.002947577258009953,5
pure_adamw,0.15,0.6,5,0.0027528134551927153,0.0002732424488025106,0.0024795710063902046,0.003026055903995226,5
pure_adamw,0.15,0.65,5,0.002770135402303442,0.00029462114477440596,0.0024755142575290357,0.003064756547077848,5
pure_adamw,0.15,0.7,5,0.002761683277251903,0.000295517452004613,0.00246616582524729,0.003057200729256516,5
pure_adamw,0.15,0.75,5,0.0027327081399243893,0.00030964258840938215,0.002423065551515007,0.0030423507283337714,5
pure_adamw,0.15,0.8,5,0.0026730858600158224,0.00032875261197232473,0.0023443332480434977,0.003001838471988147,5
pure_adamw,0.15,0.85,5,0.002571569146102526,0.00033617382262609804,0.002235395323476428,0.002907742968728624,5
pure_adamw,0.15,0.9,5,0.0024469698124338192,0.0003405643992754589,0.0021064054131583604,0.002787534211709278,5
pure_adamw,0.15,0.95,5,0.002289555492436479,0.00034429366072357895,0.0019452618317129002,0.002633849153160058,5
pure_adamw,0.15,1.0,5,0.002105468286169021,0.00036107948267193995,0.0017443888034970809,0.002466547768840961,5
