optimizer,floor,eval_kind,alpha_group,alpha_other,n,mean_gain_vs_raw,gain_ci95_half,positive_seed_count
native,0.1,structured_grid_diagnostic,0.625,0.875,5,0.001815782279998901,0.00019462925591089754,5
native,0.1,structured_grid_diagnostic,0.625,1.0,5,0.001632868815455124,0.00021498382826561042,5
native,0.1,structured_grid_diagnostic,0.75,0.0,5,0.0018962981603417805,0.00013730263831821847,5
native,0.1,structured_grid_diagnostic,0.75,0.125,5,0.0019728945264297247,0.00013405869641772608,5
native,0.1,structured_grid_diagnostic,0.75,0.25,5,0.0020289323893774025,0.00014862888272441018,5
native,0.1,structured_grid_diagnostic,0.75,0.375,5,0.0020353480241152243,0.00017399189063475076,5
native,0.1,structured_grid_diagnostic,0.75,0.5,5,0.0019967786667829833,0.0001791682779065948,5
native,0.1,structured_grid_diagnostic,0.75,0.625,5,0.0019295747619846536,0.00018369885158495646,5
native,0.1,structured_grid_diagnostic,0.75,0.75,5,0.0018185257869525629,0.00020975547284367768,5
native,0.1,structured_grid_diagnostic,0.75,0.875,5,0.001669373207147018,0.00022363949179651462,5
native,0.1,structured_grid_diagnostic,0.75,1.0,5,0.0014758679985165557,0.0002341703220611065,5
native,0.1,structured_grid_diagnostic,0.875,0.0,5,0.0016053196340792386,0.00017571203930394987,5
native,0.1,structured_grid_diagnostic,0.875,0.125,5,0.0016832803242391669,0.00016093751392824585,5
native,0.1,structured_grid_diagnostic,0.875,0.25,5,0.0017384867135088466,0.00018132993754088454,5
native,0.1,structured_grid_diagnostic,0.875,0.375,5,0.0017508812867927047,0.0002171680431665316,5
native,0.1,structured_grid_diagnostic,0.875,0.5,5,0.00170306522222603,0.00020856835204918433,5
native,0.1,structured_grid_diagnostic,0.875,0.625,5,0.0016223447925026058,0.00022816723472229378,5
native,0.1,structured_grid_diagnostic,0.875,0.75,5,0.0015182604495427743,0.00023508845224655216,5
native,0.1,structured_grid_diagnostic,0.875,0.875,5,0.0013627388920097073,0.0002392720334225935,5
native,0.1,structured_grid_diagnostic,0.875,1.0,5,0.0011656100083595965,0.00026000104653178243,5
native,0.1,structured_grid_diagnostic,1.0,0.0,5,0.0011478034522326651,0.00020345855934170411,5
native,0.1,structured_grid_diagnostic,1.0,0.125,5,0.0012218385893933536,0.00018721616252412136,5
native,0.1,structured_grid_diagnostic,1.0,0.25,5,0.001275604462742086,0.00019627648489822783,5
native,0.1,structured_grid_diagnostic,1.0,0.375,5,0.0012830671808000903,0.0002382928017987952,5
native,0.1,structured_grid_diagnostic,1.0,0.5,5,0.0012457543777598889,0.00023016583019231567,5
native,0.1,structured_grid_diagnostic,1.0,0.625,5,0.0011673090000273501,0.0002524303515481675,5
native,0.1,structured_grid_diagnostic,1.0,0.75,5,0.0010453300838591862,0.0002613912381585714,5
native,0.1,structured_grid_diagnostic,1.0,0.875,5,0.0008900205554070783,0.0002716681122551537,5
native,0.1,structured_grid_diagnostic,1.0,1.0,5,0.0006910549916643749,0.0002779279688729375,5
native,0.15,scalar_grid_diagnostic,0.0,0.0,5,0.0,0.0,0
native,0.15,scalar_grid_diagnostic,0.05,0.05,5,0.0007765485819254625,3.599805809166415e-05,5
native,0.15,scalar_grid_diagnostic,0.1,0.1,5,0.001505123058209179,5.079635242653815e-05,5
native,0.15,scalar_grid_diagnostic,0.15,0.15,5,0.002179071041583924,6.636694036508451e-05,5
native,0.15,scalar_grid_diagnostic,0.2,0.2,5,0.002777982741889451,7.003595464897493e-05,5
native,0.15,scalar_grid_diagnostic,0.25,0.25,5,0.003314231485668895,6.967222683189975e-05,5
native,0.15,scalar_grid_diagnostic,0.3,0.3,5,0.003789588108347752,0.00010771345354958303,5
native,0.15,scalar_grid_diagnostic,0.35,0.35,5,0.004202179238319647,0.00011069455282000244,5
native,0.15,scalar_grid_diagnostic,0.4,0.4,5,0.004565154752134326,0.00012141428332875783,5
native,0.15,scalar_grid_diagnostic,0.45,0.45,5,0.004876851752674405,0.00013264426026844556,5
native,0.15,scalar_grid_diagnostic,0.5,0.5,5,0.005120463075450265,0.0001388631164821189,5
native,0.15,scalar_grid_diagnostic,0.55,0.55,5,0.005311576833436149,0.00015476352618250166,5
native,0.15,scalar_grid_diagnostic,0.6,0.6,5,0.005431056544311197,0.0001306362469337095,5
native,0.15,scalar_grid_diagnostic,0.65,0.65,5,0.005519034212403406,0.00015195665024681618,5
native,0.15,scalar_grid_diagnostic,0.7,0.7,5,0.005542964329409017,0.0001664521050054476,5
native,0.15,scalar_grid_diagnostic,0.75,0.75,5,0.005521481510271498,0.0001786854455767955,5
native,0.15,scalar_grid_diagnostic,0.8,0.8,5,0.00544891196902153,0.00022629572881285745,5
native,0.15,scalar_grid_diagnostic,0.85,0.85,5,0.005319848373576885,0.00023849170093282983,5
native,0.15,scalar_grid_diagnostic,0.9,0.9,5,0.0051413425024862125,0.00022235445173997433,5
native,0.15,scalar_grid_diagnostic,0.95,0.95,5,0.004895970273383598,0.0002502211665270678,5
native,0.15,scalar_grid_diagnostic,1.0,1.0,5,0.004614318164062414,0.0002678770443730381,5
native,0.15,structured_grid_diagnostic,0.0,0.0,5,0.0,0.0,0
native,0.15,structured_grid_diagnostic,0.0,0.125,5,0.0003120198303266708,5.567687252173238e-05,5
native,0.15,structured_grid_diagnostic,0.0,0.25,5,0.0005604350446084094,7.431949390574502e-05,5
native,0.15,structured_grid_diagnostic,0.0,0.375,5,0.0007251996682958062,0.00010310848280403003,5
native,0.15,structured_grid_diagnostic,0.0,0.5,5,0.0008436166085926012,0.00014152835728439264,5
native,0.15,structured_grid_diagnostic,0.0,0.625,5,0.0008872392157639908,9.754934886055633e-05,5
native,0.15,structured_grid_diagnostic,0.0,0.75,5,0.0009149574625276991,0.00012883741240687956,5
native,0.15,structured_grid_diagnostic,0.0,0.875,5,0.0008859003511720864,0.00022259260388906953,5
native,0.15,structured_grid_diagnostic,0.0,1.0,5,0.0008035240476738092,0.00025383063553857264,5
native,0.15,structured_grid_diagnostic,0.125,0.0,5,0.0015462645647151164,3.2565865242184e-05,5
native,0.15,structured_grid_diagnostic,0.125,0.125,5,0.0018489812022409514,6.641079940210646e-05,5
native,0.15,structured_grid_diagnostic,0.125,0.25,5,0.0020810180575516314,7.0617074591969e-05,5
native,0.15,structured_grid_diagnostic,0.125,0.375,5,0.002230783707905504,9.306181649119629e-05,5
native,0.15,structured_grid_diagnostic,0.125,0.5,5,0.0023262793738052954,0.00012290421421152372,5
native,0.15,structured_grid_diagnostic,0.125,0.625,5,0.0023605087533252076,8.701370039026787e-05,5
native,0.15,structured_grid_diagnostic,0.125,0.75,5,0.0023652156581780216,0.00012265403426314138,5
native,0.15,structured_grid_diagnostic,0.125,0.875,5,0.002315216791431407,0.000199492429999912,5
native,0.15,structured_grid_diagnostic,0.125,1.0,5,0.0022003520886827222,0.00022875605715927435,5
native,0.15,structured_grid_diagnostic,0.25,0.0,5,0.002816867038235182,6.452461480565163e-05,5
native,0.15,structured_grid_diagnostic,0.25,0.125,5,0.003106627333807799,6.757833870041091e-05,5
native,0.15,structured_grid_diagnostic,0.25,0.25,5,0.003314231485668895,6.967222683189975e-05,5
native,0.15,structured_grid_diagnostic,0.25,0.375,5,0.0034512221438242285,9.904942507085016e-05,5
native,0.15,structured_grid_diagnostic,0.25,0.5,5,0.0035271674715324774,0.00012031933049923617,5
native,0.15,structured_grid_diagnostic,0.25,0.625,5,0.0035476773739350877,8.949442773337042e-05,5
native,0.15,structured_grid_diagnostic,0.25,0.75,5,0.003543504049827595,0.0001266230029745869,5
native,0.15,structured_grid_diagnostic,0.25,0.875,5,0.0034703710665611176,0.00019044131066529106,5
native,0.15,structured_grid_diagnostic,0.25,1.0,5,0.0033496247640951715,0.0002146272943675083,5
native,0.15,structured_grid_diagnostic,0.375,0.0,5,0.0038049300731956225,7.478068120548281e-05,5
native,0.15,structured_grid_diagnostic,0.375,0.125,5,0.004075506583126165,8.800021022185316e-05,5
native,0.15,structured_grid_diagnostic,0.375,0.25,5,0.0042633828868892994,8.798015065614856e-05,5
native,0.15,structured_grid_diagnostic,0.375,0.375,5,0.004390595430633493,0.0001151946209689649,5
native,0.15,structured_grid_diagnostic,0.375,0.5,5,0.004460318555099008,0.00013422111879745778,5
native,0.15,structured_grid_diagnostic,0.375,0.625,5,0.0044628364265754785,9.756246807688984e-05,5
native,0.15,structured_grid_diagnostic,0.375,0.75,5,0.004437859924154397,0.00013379162848874279,5
native,0.15,structured_grid_diagnostic,0.375,0.875,5,0.00435230541328493,0.0001896261703008033,5
native,0.15,structured_grid_diagnostic,0.375,1.0,5,0.004217017407589596,0.00021415304627412857,5
native,0.15,structured_grid_diagnostic,0.5,0.0,5,0.004523692137590363,9.317866831389902e-05,5
native,0.15,structured_grid_diagnostic,0.5,0.125,5,0.004772800326202864,0.00012347358340046179,5
native,0.15,structured_grid_diagnostic,0.5,0.25,5,0.004954869181513733,0.00011086844718941958,5
native,0.15,structured_grid_diagnostic,0.5,0.375,5,0.005058409813955489,0.00012640314191390535,5
native,0.15,structured_grid_diagnostic,0.5,0.5,5,0.005120463075450265,0.0001388631164821189,5
native,0.15,structured_grid_diagnostic,0.5,0.625,5,0.0051076775649584235,0.0001231589073842309,5
native,0.15,structured_grid_diagnostic,0.5,0.75,5,0.005055628722427175,0.00013764193930288144,5
native,0.15,structured_grid_diagnostic,0.5,0.875,5,0.004969010154055997,0.00019690117441093408,5
native,0.15,structured_grid_diagnostic,0.5,1.0,5,0.004808780113130062,0.00021793524997391385,5
native,0.15,structured_grid_diagnostic,0.625,0.0,5,0.004956502329524959,0.0001355677016768239,5
native,0.15,structured_grid_diagnostic,0.625,0.125,5,0.005198627428981561,0.000137200872909401,5
native,0.15,structured_grid_diagnostic,0.625,0.25,5,0.005368679473890081,0.00011659061736085851,5
