optimizer,alpha_group,alpha_other,n,mean,ci95_halfwidth,ci95_low,ci95_high,positive_count
pure_adamw,0.375,0.5,5,0.0008620704556420389,0.00012732368724832621,0.0007347467683937127,0.0009893941428903651,5
pure_adamw,0.375,0.625,5,0.0008066447422975465,0.00013189194736218311,0.0006747527949353633,0.0009385366896597296,5
pure_adamw,0.375,0.75,5,0.0007231494802041105,0.00012849006882113028,0.0005946594113829802,0.0008516395490252408,5
pure_adamw,0.375,0.875,5,0.000602433184662976,0.0001526489495539644,0.0004497842351090116,0.0007550821342169403,5
pure_adamw,0.375,1.0,5,0.00043318698150427435,0.00013243254925942034,0.00030075443224485403,0.0005656195307636947,5
pure_adamw,0.5,0.0,5,0.0008841675058589349,0.00015227507484566157,0.0007318924310132733,0.0010364425807045964,5
pure_adamw,0.5,0.125,5,0.0009478170743716152,0.0001566461706939983,0.0007911709036776169,0.0011044632450656136,5
pure_adamw,0.5,0.25,5,0.000979905183581975,0.0001554684879390339,0.0008244366956429412,0.001135373671521009,5
pure_adamw,0.5,0.375,5,0.0009774308123098319,0.00015031964236839718,0.0008271111699414347,0.001127750454678229,5
pure_adamw,0.5,0.5,5,0.0009451863412151873,0.0001629225433202011,0.0007822637978949861,0.0011081088845353883,5
pure_adamw,0.5,0.625,5,0.0008774199466661248,0.00017528548992364585,0.0007021344567424789,0.0010527054365897705,5
pure_adamw,0.5,0.75,5,0.0007806719244736193,0.00017528468019355342,0.0006053872442800659,0.0009559566046671728,5
pure_adamw,0.5,0.875,5,0.0006515207389351296,0.0001761332822416085,0.0004753874566935211,0.0008276540211767381,5
pure_adamw,0.5,1.0,5,0.0004891796633430534,0.00017528766592921416,0.00031389199741383925,0.0006644673292722676,5
pure_adamw,0.625,0.0,5,0.0009160149595966782,0.00018961224036810452,0.0007264027192285737,0.0011056271999647827,5
pure_adamw,0.625,0.125,5,0.000980671795796928,0.00018751629439158686,0.0007931555014053411,0.0011681880901885148,5
pure_adamw,0.625,0.25,5,0.0010070094556861252,0.00018545673889992654,0.0008215527167861987,0.0011924661945860518,5
pure_adamw,0.625,0.375,5,0.000986741889130105,0.00018528531130189636,0.0008014565778282087,0.0011720272004320013,5
